customer_id,customer_name,city,segment,gender,signup_date,status
C00001,Customer_1,Delhi,Regular,Other,2024-10-08,active
C00002,Customer_2,Bengaluru,Silver,Other,2024-04-14,active
C00003,Customer_3,Gurugram,Platinum,M,2024-01-31,active
C00004,Customer_4,Bengaluru,Silver,Other,2025-09-08,active
C00005,Customer_5,Ahmedabad,Silver,Other,2025-10-27,inactive
C00006,Customer_6,Bengaluru,Platinum,Other,2024-10-11,active
C00007,Customer_7,Mumbai,Platinum,F,2024-10-11,active
C00008,Customer_8,Bengaluru,Gold,M,2024-04-04,inactive
C00009,Customer_9,Delhi,Gold,F,2025-09-10,active
C00010,Customer_10,Jaipur,Platinum,Other,2024-05-07,inactive
C00011,Customer_11,Delhi,Gold,Other,2025-09-25,active
C00012,Customer_12,Gurugram,Silver,Other,2024-03-12,active
C00013,Customer_13,Bengaluru,Gold,M,2024-08-26,active
C00014,Customer_14,Chennai,Gold,F,2025-10-12,active
C00015,Customer_15,Mumbai,Gold,F,2024-08-02,active
C00016,Customer_16,Delhi,Silver,Other,2026-01-16,active
C00017,Customer_17,Mumbai,Platinum,F,2024-10-03,active
C00018,Customer_18,Pune,Regular,M,2024-02-02,active
C00019,Customer_19,Chennai,Gold,M,2024-08-04,active
C00020,Customer_20,Bengaluru,Platinum,F,2025-10-20,inactive
C00021,Customer_21,Mumbai,Gold,M,2024-09-09,active
C00022,Customer_22,Gurugram,Platinum,Other,2025-02-12,active
C00023,Customer_23,Bengaluru,Silver,Other,2025-05-20,active
C00024,Customer_24,Jaipur,Regular,M,2025-10-04,active
C00025,Customer_25,Chennai,Regular,F,2025-01-25,inactive
C00026,Customer_26,Ahmedabad,Gold,Other,2024-01-12,active
C00027,Customer_27,Ahmedabad,Gold,Other,2024-12-14,active
C00028,Customer_28,Hyderabad,Platinum,M,2025-04-09,active
C00029,Customer_29,Hyderabad,Silver,Other,2024-04-18,active
C00030,Customer_30,Ahmedabad,Silver,M,2025-01-17,active
C00031,Customer_31,Ahmedabad,Regular,Other,2024-11-27,inactive
C00032,Customer_32,Jaipur,Regular,F,2024-11-10,active
C00033,Customer_33,Jaipur,Silver,Other,2024-03-21,active
C00034,Customer_34,Kolkata,Regular,Other,2024-05-08,active
C00035,Customer_35,Kolkata,Silver,F,31-31-2025,inactive
C00036,Customer_36,Bengaluru,Silver,Other,2024-11-15,inactive
C00037,Customer_37,Pune,Platinum,Other,2025-04-07,active
C00038,Customer_38,Bengaluru,Silver,M,2024-12-12,active
C00039,Customer_39,Gurugram,Silver,Other,2024-08-13,active
C00040,Customer_40,Delhi,Regular,M,2024-03-10,active
C00041,Customer_41,Pune,Regular,Other,2024-08-31,active
C00042,Customer_42,Kolkata,Silver,Other,2024-05-15,inactive
C00043,Customer_43,Bengaluru,Platinum,F,2024-07-13,active
C00044,Customer_44,Delhi,Platinum,F,2025-03-09,inactive
C00045,Customer_45,Kolkata,Regular,Other,2025-10-31,active
C00046,Customer_46,Jaipur,Platinum,Other,2024-12-13,active
C00047,Customer_47,Bengaluru,Silver,M,2025-07-03,inactive
C00048,Customer_48,Mumbai,Platinum,M,2024-10-12,inactive
C00049,Customer_49,Bengaluru,Regular,F,2025-07-17,active
C00050,Customer_50,Jaipur,Regular,M,2024-08-30,active
C00051,Customer_51,Chennai,Platinum,F,2024-08-06,inactive
C00052,Customer_52,Jaipur,Silver,F,2024-01-03,inactive
C00053,Customer_53,Hyderabad,Platinum,F,2025-03-09,inactive
C00054,Customer_54,Mumbai,Silver,F,2024-08-10,active
C00055,Customer_55,Gurugram,Regular,Other,2024-11-17,active
C00056,Customer_56,Jaipur,Platinum,Other,2025-06-27,active
C00057,Customer_57,Jaipur,Regular,M,2024-03-11,active
C00058,Customer_58,Bengaluru,Platinum,M,2025-08-06,active
C00059,Customer_59,Gurugram,Regular,Other,2024-03-24,inactive
C00060,Customer_60,Gurugram,Gold,F,2024-07-28,active
C00061,Customer_61,Bengaluru,Gold,F,2024-05-14,active
C00062,Customer_62,Kolkata,Gold,M,2024-01-10,inactive
C00063,Customer_63,Gurugram,Regular,M,2025-07-04,active
C00064,Customer_64,Ahmedabad,Gold,M,2024-12-23,active
C00065,Customer_65,Bengaluru,Gold,F,2024-06-10,inactive
C00066,Customer_66,Ahmedabad,Gold,Other,31-31-2025,active
C00067,Customer_67,Ahmedabad,Gold,Other,2024-04-16,active
C00068,Customer_68,Hyderabad,Regular,M,2026-01-30,active
C00069,Customer_69,Hyderabad,Gold,Other,2024-08-03,active
C00070,Customer_70,Bengaluru,Gold,Other,2025-05-15,active
C00071,Customer_71,Jaipur,Regular,Other,2025-03-09,active
C00072,Customer_72,Jaipur,Regular,F,2024-05-13,active
C00073,Customer_73,Mumbai,Platinum,Other,2025-12-23,inactive
C00074,Customer_74,Ahmedabad,Regular,M,2024-03-18,active
C00075,Customer_75,Ahmedabad,Regular,F,2025-08-19,active
C00076,Customer_76,Chennai,Silver,M,2024-11-11,active
