order_id,order_ts,customer_id,product_id,store_id,quantity,unit_price,discount_pct,gross_amount,payment_method,order_status
O0000001,2025-12-15 04:49:00,C01671,P00638,S003,4,30260.29,0.15,121041.16,CARD,cancelled
O0000002,2026-03-13 03:29:00,C00713,P00768,S028,4,30049.26,0.1,102167.48,CARD,returned
O0000003,2026-03-05 07:20:00,C02131,P00142,S072,5,59685.88,0.0,283507.93,COD,delivered
O0000004,2025-12-28 13:56:00,C01399,P00031,S071,1,18705.7,0.05,15899.84,NETBANKING,returned
O0000005,2025-12-31 17:43:00,C00383,P00564,S049,2,46727.14,0.15,84108.85,COD,cancelled
O0000006,2026-03-11 02:59:00,C01745,P00101,S019,2,12387.77,0.05,21059.21,COD,returned
O0000007,2025-12-26 03:16:00,C01633,P00555,S020,2,54612.57,0.05,98302.63,COD,returned
O0000008,2025-12-09 20:57:00,C01960,P00771,S029,1,29725.2,0.0,28238.94,UPI,returned
O0000009,2026-01-20 19:25:00,C00479,P00782,S050,4,84092.97,0.05,336371.88,UPI,delivered
O0000010,2026-03-21 06:52:00,C00197,P00068,S049,5,31466.94,0.0,157334.7,COD,delivered
O0000011,2025-12-15 20:38:00,C00223,P00465,S053,1,66406.1,0.05,59765.49,CARD,returned
O0000012,2026-01-22 20:26:00,C00904,P00653,S036,2,41566.57,0.1,74819.83,UPI,cancelled
O0000013,2026-01-21 14:38:00,C00239,P00732,S058,3,47944.88,0.05,136642.91,NETBANKING,cancelled
O0000014,2026-03-21 04:38:00,C02276,P00095,S063,2,57712.64,0.15,115425.28,NETBANKING,delivered
O0000015,2025-11-11 18:44:00,C00094,P00407,S068,5,42833.72,0.1,192751.74,UPI,delivered
O0000016,2025-11-20 06:29:00,C01287,P00367,S022,2,65681.17,0.05,124794.22,COD,cancelled
O0000017,2025-10-28 14:34:00,C00840,P00169,S014,1,18858.59,0.0,18858.59,CARD,delivered
O0000018,2026-01-06 03:14:00,C00543,P00479,S064,4,45642.76,0.1,164313.94,NETBANKING,delivered
O0000019,2025-11-18 06:28:00,C01258,P00271,S007,1,19175.41,0.05,17257.87,COD,delivered
O0000020,2025-11-06 12:18:00,C01767,P00283,S037,5,9818.72,0.0,49093.6,CARD,cancelled
O0000021,2025-11-22 21:16:00,C02189,P00111,S019,1,1514.72,0.15,1287.51,NETBANKING,returned
O0000022,2025-11-13 05:04:00,C02014,P00604,S069,1,66887.45,0.05,66887.45,UPI,delivered
O0000023,2025-12-06 16:59:00,C02013,P00749,S057,4,68234.0,0.05,245642.4,NETBANKING,delivered
O0000024,2026-02-16 07:56:00,C02227,P00698,S041,1,3660.3,0.15,3477.28,UPI,shipped
O0000025,2025-11-28 18:48:00,C02019,P00720,S070,4,71920.95,0.15,287683.8,NETBANKING,delivered
O0000026,2026-01-25 15:44:00,C00967,P00415,S067,1,81415.77,0.05,69203.4,UPI,shipped
O0000027,2025-10-01 12:34:00,C00740,P00230,S045,2,36333.32,0.1,69033.31,CARD,delivered
O0000028,2026-01-09 21:55:00,C02209,P00459,S014,3,12387.77,0.1,33446.98,NETBANKING,returned
O0000029,2025-11-08 23:04:00,C00298,P00585,S018,5,83084.21,0.1,394650.0,NETBANKING,cancelled
O0000030,2026-03-02 01:35:00,C00964,P00441,S070,5,17399.1,0.1,78295.95,UPI,delivered
O0000031,2025-11-02 01:54:00,C02479,P00709,S030,3,66545.66,0.15,199636.98,COD,returned
O0000032,2025-12-14 20:08:00,C02498,P00525,S071,3,55549.34,0.0,149983.22,UPI,shipped
O0000033,2025-12-28 14:40:00,C00147,P00712,S057,5,38089.33,0.0,161879.65,COD,delivered
O0000034,2025-11-30 17:25:00,C00803,P00553,S024,4,27347.38,0.0,92981.09,NETBANKING,shipped
O0000035,2026-01-06 02:39:00,C02028,P00626,S069,1,10895.35,0.15,9261.05,NETBANKING,returned
O0000036,2025-11-08 19:36:00,C00631,P00133,S041,4,27396.49,0.05,93148.07,NETBANKING,delivered
O0000037,2026-03-14 17:20:00,C01633,P00659,S024,5,unknown,0.05,bad_amount,COD,delivered
O0000038,2026-03-28 08:56:00,C01599,P00391,S043,1,70711.89,0.15,63640.7,UPI,delivered
O0000039,2026-03-22 03:10:00,C01404,P00384,S035,3,44111.62,0.1,125718.12,CARD,returned
O0000040,2026-01-09 14:37:00,C01446,P00627,S038,4,44375.05,0.05,168625.19,CARD,delivered
O0000041,2026-03-24 17:47:00,C00911,P00200,S070,5,86969.03,0.0,369618.38,COD,cancelled
O0000042,2025-11-12 08:05:00,C01980,P00183,S044,3,49831.34,0.15,134544.62,CARD,returned
O0000043,2025-11-13 12:37:00,,P00543,S048,2,86349.23,0.0,164063.54,CARD,returned
O0000044,2025-10-28 17:45:00,C00106,P00662,S063,4,50679.03,0.1,182444.51,NETBANKING,returned
O0000045,2025-12-23 00:39:00,C01177,P00268,S029,3,21695.86,0.0,55324.44,CARD,shipped
O0000046,2026-03-10 19:07:00,C00464,P00493,S062,5,40822.83,0.05,204114.15,UPI,delivered
O0000047,2026-02-11 22:21:00,C00155,P00089,S047,5,78088.55,0.05,351398.48,NETBANKING,shipped
O0000048,2025-10-23 10:18:00,C01343,P00208,S014,4,83018.04,0.05,298864.94,CARD,shipped
O0000049,2026-03-08 06:52:00,C00976,P00437,S058,4,9724.96,0.1,38899.84,UPI,delivered
O0000050,2026-03-08 08:54:00,C01162,P00789,S012,2,78202.6,0.0,156405.2,COD,delivered
O0000051,2026-01-25 12:39:00,C02300,P00062,S017,5,14785.78,0.15,62839.57,UPI,shipped
O0000052,2026-01-01 04:15:00,C01648,P00167,S018,5,12058.68,0.1,54264.06,NETBANKING,cancelled
O0000053,2025-10-15 10:55:00,C01843,P00552,S057,5,28821.3,0.1,122490.52,COD,delivered
O0000054,2025-11-05 15:45:00,C01146,P00555,S044,3,54356.5,0.15,146762.55,COD,shipped
O0000055,2026-04-01 19:18:00,C01248,P00630,S016,2,1538.5,0.0,2923.15,NETBANKING,shipped
