product_id,product_name,category,brand,unit_price,status,created_date
P00001,T-Shirt 1,Fashion,BrandC,unknown,discontinued,2025-02-15
P00002,Bedsheet 2,Home,BrandC,unknown,active,2024-04-20
P00003,Bedsheet 3,Home,BrandD,30753.26,active,2024-10-23
P00004,Oil 4,Grocery,BrandB,68176.44,active,2024-03-07
P00005,Oil 5,,BrandC,51796.39,active,2024-12-12
P00006,Chair 6,Home,BrandC,10740.11,discontinued,2025-06-17
P00007,Jeans 7,Fashion,BrandC,26020.02,active,2024-04-19
P00008,Chair 8,Home,BrandB,8710.16,active,2023-03-23
P00009,Cream 9,Beauty,BrandA,71925.36,discontinued,2023-02-22
P00010,Chair 10,Home,BrandD,25422.83,discontinued,2025-12-02
P00011,Jacket 11,Fashion,BrandA,26601.15,active,2025-06-29
P00012,Tea 12,Grocery,BrandB,23734.04,active,2023-08-27
P00013,Mixer 13,Home,BrandB,67005.44,active,2024-10-31
P00014,Sneakers 14,Fashion,BrandA,24907.63,active,2023-03-20
P00015,Coffee 15,Grocery,BrandC,83918.53,active,2023-03-14
P00016,Keyboard 16,Electronics,BrandD,12387.77,active,2024-02-05
P00017,Bedsheet 17,Home,BrandB,13696.86,discontinued,2024-08-01
P00018,Jeans 18,Fashion,BrandA,57158.76,active,2023-01-07
P00019,Coffee 19,Grocery,BrandB,44202.95,active,2023-03-21
P00020,Oil 20,Grocery,BrandB,55234.97,active,2025-09-18
P00021,Cream 21,Beauty,BrandC,85893.82,active,2024-08-21
P00022,Tea 22,Grocery,BrandD,71723.42,active,2025-09-12
P00023,Mixer 23,Home,BrandC,19766.23,discontinued,2025-07-04
P00024,Chair 24,Home,BrandA,59644.64,active,2025-08-09
P00025,Mixer 25,Home,BrandD,31334.27,active,2025-09-17
P00026,Tea 26,Grocery,BrandA,61875.0,active,2024-07-02
P00027,Shampoo 27,Beauty,BrandD,80091.77,active,2024-10-23
P00028,Lamp 28,Home,BrandD,37057.72,discontinued,2025-03-27
P00029,Mixer 29,Home,BrandB,24207.09,active,2023-04-04
P00030,Bedsheet 30,Home,BrandB,36930.25,active,2023-08-14
P00031,Cream 31,Beauty,BrandA,29725.2,active,2025-02-15
P00032,Speaker 32,Electronics,BrandC,30049.26,active,2023-04-11
P00033,Shampoo 33,Beauty,BrandB,32639.83,active,2026-01-02
P00034,Rice 34,Grocery,BrandB,26173.66,active,2024-11-09
P00035,Rice 35,Grocery,BrandB,49801.37,active,2023-03-15
P00036,Laptop 36,Electronics,BrandD,9298.66,discontinued,2023-03-28
P00037,Sneakers 37,Fashion,BrandB,27187.86,active,2023-03-11
P00038,Mixer 38,Home,BrandD,73184.59,discontinued,2023-09-26
P00039,Mixer 39,Home,BrandD,6961.32,active,2023-01-31
P00040,Cream 40,Beauty,BrandA,82714.19,discontinued,2024-02-02
P00041,Perfume 41,Beauty,BrandD,70646.68,active,2024-09-10
P00042,Bedsheet 42,Home,BrandC,18303.79,discontinued,2025-02-10
P00043,Bedsheet 43,Home,BrandD,8448.17,active,2025-09-16
P00044,Chair 44,Home,BrandD,34466.16,discontinued,2025-02-02
P00045,Cream 45,Beauty,BrandB,9818.72,active,2025-03-24
P00046,Jacket 46,Fashion,BrandA,33334.36,active,2024-11-11
P00047,T-Shirt 47,Fashion,BrandB,8657.38,active,2025-09-30
P00048,Shampoo 48,Beauty,BrandD,7623.28,discontinued,2025-12-07
P00049,Shampoo 49,Beauty,BrandD,5379.25,active,2025-04-23
P00050,Lamp 50,Home,BrandA,75102.36,active,2025-04-12
P00051,Mouse 51,Electronics,BrandD,62160.53,discontinued,2024-10-03
P00052,Sneakers 52,Fashion,BrandD,41566.57,active,2023-08-04
P00053,Coffee 53,Grocery,BrandA,33861.69,active,2025-11-30
P00054,Keyboard 54,Electronics,BrandA,17827.3,active,2025-05-18
P00055,Rice 55,Grocery,BrandD,56384.75,active,2025-05-06
P00056,Coffee 56,Grocery,BrandD,26763.85,active,2024-07-09
P00057,Perfume 57,Beauty,BrandC,55389.84,active,2023-10-17
P00058,Chair 58,Home,BrandC,72269.01,active,2025-08-24
P00059,Rice 59,Grocery,BrandB,84263.33,active,2025-12-09
P00060,Coffee 60,Grocery,BrandB,28646.51,active,2025-08-21
P00061,Headphones 61,Electronics,BrandB,28120.7,active,2023-07-12
P00062,Perfume 62,Beauty,BrandA,29846.68,discontinued,2023-11-17
P00063,Mouse 63,Electronics,BrandB,57300.01,active,2023-01-29
P00064,Sneakers 64,Fashion,BrandD,25634.15,active,2025-01-22
P00065,Perfume 65,Beauty,BrandB,84092.97,active,2023-11-09
P00066,Speaker 66,Electronics,BrandB,19542.42,active,2023-07-29
P00067,Jacket 67,Fashion,BrandC,unknown,discontinued,2024-03-04
P00068,T-Shirt 68,Fashion,BrandB,70520.17,active,2023-10-28
P00069,Jeans 69,Fashion,BrandA,42833.72,active,2023-06-09
P00070,Keyboard 70,Electronics,BrandD,46092.54,discontinued,2025-08-24
P00071,Lamp 71,Home,BrandA,45073.73,active,2025-03-16
P00072,Tea 72,Grocery,BrandC,63585.51,active,2025-12-05
P00073,Mixer 73,Home,BrandB,79505.04,active,2024-07-22
P00074,Jacket 74,Fashion,BrandD,50478.89,active,2023-09-04
P00075,Perfume 75,Beauty,BrandB,58716.12,active,2025-01-18
P00076,Oil 76,Grocery,BrandB,65585.96,active,2025-02-22
P00077,Chair 77,Home,BrandA,83992.66,active,2025-06-24
P00078,Chair 78,Home,BrandC,584.86,active,2023-07-12
