store_id,store_name,city,region,status
S001,Store_1,Jaipur,Online,active
S002,Store_2,Pune,West,active
S003,Store_3,Ahmedabad,South,closed
S004,Store_4,Ahmedabad,North,active
S005,Store_5,Chennai,East,active
S006,Store_6,Kolkata,East,closed
S007,Store_7,Hyderabad,Online,active
S008,Store_8,Chennai,North,closed
S009,Store_9,Bengaluru,West,active
S010,Store_10,Gurugram,East,active
S011,Store_11,Jaipur,North,active
S012,Store_12,Gurugram,North,active
S013,Store_13,Ahmedabad,Online,active
S014,Store_14,Delhi,Online,active
S015,Store_15,Bengaluru,South,active
S016,Store_16,Ahmedabad,West,active
S017,Store_17,Jaipur,Online,active
S018,Store_18,Chennai,South,active
S019,Store_19,Mumbai,South,closed
S020,Store_20,Gurugram,Online,active
S021,Store_21,Delhi,South,active
S022,Store_22,Hyderabad,East,active
S023,Store_23,Chennai,North,active
S024,Store_24,Hyderabad,North,closed
S025,Store_25,Hyderabad,South,closed
S026,Store_26,Ahmedabad,West,closed
S027,Store_27,Jaipur,East,closed
S028,Store_28,Jaipur,East,active
S029,Store_29,Kolkata,West,active
S030,Store_30,Chennai,North,closed
S031,Store_31,Delhi,North,closed
S032,Store_32,Mumbai,West,active
S033,Store_33,Jaipur,South,active
S034,Store_34,Ahmedabad,South,active
S035,Store_35,Chennai,West,closed
S036,Store_36,Delhi,North,active
S037,Store_37,Mumbai,West,active
S038,Store_38,Pune,South,active
S039,Store_39,Mumbai,South,active
S040,Store_40,Pune,East,active
S041,Store_41,Chennai,Online,closed
S042,Store_42,Mumbai,West,closed
S043,Store_43,Delhi,West,closed
S044,Store_44,Kolkata,West,closed
S045,Store_45,Mumbai,Online,active
S046,Store_46,Ahmedabad,East,active
S047,Store_47,Jaipur,North,active
S048,Store_48,Hyderabad,Online,active
S049,Store_49,Ahmedabad,West,active
S050,Store_50,Pune,East,active
S051,Store_51,Kolkata,Online,closed
S052,Store_52,Ahmedabad,South,active
S053,Store_53,Jaipur,South,active
S054,Store_54,Pune,Online,closed
S055,Store_55,Delhi,North,active
S056,Store_56,Pune,West,closed
S057,Store_57,Jaipur,Online,active
S058,Store_58,Ahmedabad,East,closed
S059,Store_59,Gurugram,North,active
S060,Store_60,Hyderabad,Online,active
S061,Store_61,Jaipur,West,active
S062,Store_62,Gurugram,South,active
S063,Store_63,Gurugram,Online,closed
S064,Store_64,Chennai,Online,closed
S065,Store_65,Chennai,East,closed
S066,Store_66,Gurugram,Online,closed
S067,Store_67,Kolkata,North,closed
S068,Store_68,Hyderabad,South,closed
S069,Store_69,Pune,Online,active
S070,Store_70,Gurugram,South,active
S071,Store_71,Pune,Online,active
S072,Store_72,Hyderabad,North,closed
S073,Store_73,Hyderabad,Online,closed
S074,Store_74,Bengaluru,South,active
S075,Store_75,Delhi,South,active
S032,Store_32,Mumbai,West,active
S037,Store_37,Mumbai,West,active
S017,Store_17,Jaipur,Online,active
S046,Store_46,Ahmedabad,East,active
S009,Store_9,Bengaluru,West,active
