customer_id,customer_name,city,segment,gender,signup_date,status,effective_date,operation
C00938,Customer_938,Mumbai,Platinum,Other,2025-08-02,active,2026-04-24,UPDATE
C01955,Customer_1955,Hyderabad,Silver,F,2025-03-14,inactive,2026-04-24,UPDATE
C01539,Customer_1539,Ahmedabad,Silver,M,2024-09-08,active,2026-04-24,UPDATE
C00577,Customer_577,Delhi,Gold,F,2025-11-17,inactive,2026-04-24,UPDATE
C01999,Customer_1999,Ahmedabad,Silver,M,2024-11-29,active,2026-04-24,UPDATE
C00948,Customer_948,Mumbai,Silver,M,2024-06-02,active,2026-04-24,UPDATE
C02069,Customer_2069,Chennai,Silver,Other,2025-03-15,active,2026-04-24,UPDATE
C01445,Customer_1445,Jaipur,Silver,M,2025-07-23,inactive,2026-04-24,UPDATE
C01135,Customer_1135,Jaipur,Regular,F,2024-06-22,active,2026-04-24,UPDATE
C01503,Customer_1503,Kolkata,Platinum,Other,2024-09-24,active,2026-04-24,UPDATE
C02122,Customer_2122,Ahmedabad,Platinum,Other,2025-12-09,active,2026-04-24,UPDATE
C00632,Customer_632,Mumbai,Silver,M,2025-07-20,active,2026-04-24,UPDATE
C01462,Customer_1462,Pune,Gold,F,2025-05-11,inactive,2026-04-24,UPDATE
C02282,Customer_2282,Mumbai,Regular,F,2024-01-19,active,2026-04-24,UPDATE
C01684,Customer_1684,Pune,Silver,M,2024-04-05,active,2026-04-24,UPDATE
C02212,Customer_2212,Chennai,Silver,F,2024-05-31,inactive,2026-04-24,UPDATE
C00694,Customer_694,Hyderabad,Gold,F,2025-01-27,active,2026-04-24,UPDATE
C01658,Customer_1658,Mumbai,Regular,F,2024-11-06,active,2026-04-24,UPDATE
C01923,Customer_1923,Kolkata,Silver,F,2026-01-23,active,2026-04-24,UPDATE
C00190,Customer_190,Hyderabad,Gold,F,2024-09-06,inactive,2026-04-24,UPDATE
C01312,Customer_1312,Jaipur,Regular,Other,2025-12-07,active,2026-04-24,UPDATE
C01265,Customer_1265,Ahmedabad,Regular,M,2025-08-17,active,2026-04-24,UPDATE
C00044,Customer_44,Mumbai,Silver,F,2025-03-09,inactive,2026-04-24,UPDATE
C00504,Customer_504,Delhi,Gold,Other,2024-12-26,active,2026-04-24,UPDATE
C01675,Customer_1675,Mumbai,Gold,M,2025-03-29,active,2026-04-24,UPDATE
C02090,Customer_2090,Chennai,Silver,F,2025-04-04,active,2026-04-24,UPDATE
C01552,Customer_1552,Gurugram,Silver,Other,2025-03-09,inactive,2026-04-24,UPDATE
C00966,Customer_966,Kolkata,Silver,F,2024-12-24,active,2026-04-24,UPDATE
C01622,Customer_1622,Delhi,Gold,F,2025-04-24,inactive,2026-04-24,UPDATE
C00288,Customer_288,Chennai,Regular,M,2025-03-22,inactive,2026-04-24,UPDATE
C02118,Customer_2118,Hyderabad,Silver,M,2024-03-26,active,2026-04-24,UPDATE
C00837,Customer_837,Ahmedabad,Platinum,M,2025-09-17,inactive,2026-04-24,UPDATE
C00175,Customer_175,Chennai,Platinum,Other,2024-10-02,active,2026-04-24,UPDATE
C02403,Customer_2403,Jaipur,Silver,F,2025-03-24,active,2026-04-24,UPDATE
C02293,Customer_2293,Jaipur,Platinum,M,2024-02-19,active,2026-04-24,UPDATE
C01895,Customer_1895,Pune,Regular,M,2025-09-26,active,2026-04-24,UPDATE
C00973,Customer_973,Ahmedabad,Regular,Other,2025-01-09,active,2026-04-24,UPDATE
C00093,Customer_93,Jaipur,Platinum,Other,2024-05-10,active,2026-04-24,UPDATE
C00720,Customer_720,Mumbai,Gold,M,2025-10-13,active,2026-04-24,UPDATE
C00405,Customer_405,Hyderabad,Silver,Other,2025-07-29,active,2026-04-24,UPDATE
C00967,Customer_967,Bengaluru,Gold,F,2025-05-03,active,2026-04-24,UPDATE
C02484,Customer_2484,Jaipur,Regular,F,2024-11-18,active,2026-04-24,UPDATE
C01868,Customer_1868,Gurugram,Platinum,Other,2025-04-20,inactive,2026-04-24,UPDATE
C01061,Customer_1061,Bengaluru,Silver,Other,2024-01-23,active,2026-04-24,UPDATE
C02233,Customer_2233,Bengaluru,Platinum,Other,2026-01-29,active,2026-04-24,UPDATE
C00648,Customer_648,Gurugram,Platinum,F,2024-12-21,active,2026-04-24,UPDATE
C01822,Customer_1822,Bengaluru,Gold,F,2025-05-24,active,2026-04-24,UPDATE
C02331,Customer_2331,Mumbai,Gold,M,2025-06-21,active,2026-04-24,UPDATE
C01202,Customer_1202,Chennai,Platinum,F,2025-08-15,active,2026-04-24,UPDATE
C00433,Customer_433,Jaipur,Regular,M,2024-04-21,active,2026-04-24,UPDATE
C00318,Customer_318,Delhi,Silver,Other,2025-03-24,active,2026-04-24,UPDATE
C00414,Customer_414,Jaipur,Platinum,Other,2025-06-05,inactive,2026-04-24,UPDATE
