order_id,order_ts,customer_id,product_id,store_id,quantity,unit_price,discount_pct,gross_amount,payment_method,order_status,ingest_date
OI1000001,2026-04-24 06:19:00,C01655,P00595,S003,6,6139.0,0.2,36834.0,WALLET,shipped,2026-04-24
OI1000002,2026-04-24 18:32:00,C01699,P00359,S026,4,74405.37,0.2,282740.41,NETBANKING,delivered,2026-04-24
OI1000003,2026-04-24 22:28:00,C02173,P00026,S043,4,61875.0,0.05,198000.0,WALLET,returned,2026-04-24
OI1000004,2026-04-24 10:28:00,C00269,P00227,S017,1,57830.24,0.0,46264.19,UPI,delivered,2026-04-24
OI1000005,2026-04-24 23:25:00,C02425,P00768,S067,6,unknown,0.2,bad_amount,COD,delivered,2026-04-24
OI1000006,2026-04-24 04:59:00,C00910,P00322,S038,2,64831.95,0.0,129663.9,UPI,delivered,2026-04-24
OI1000007,2026-04-24 15:52:00,C00332,P00088,S009,1,65627.82,0.05,52502.26,COD,returned,2026-04-24
OI1000008,2026-04-24 21:20:00,C00420,P00305,S010,3,18907.54,0.2,45378.1,CARD,cancelled,2026-04-24
OI1000009,2026-04-24 05:26:00,C01581,P00354,S044,1,17006.45,0.2,17006.45,UPI,returned,2026-04-24
OI1000010,2026-04-24 02:09:00,C02194,P00170,S010,1,72347.53,0.1,68730.15,UPI,cancelled,2026-04-24
OI1000011,2026-04-24 11:58:00,C00038,P00632,S016,4,62788.56,0.2,226038.82,CARD,shipped,2026-04-24
OI1000012,2026-04-24 18:02:00,C01855,P00462,S033,2,84326.32,0.1,151787.38,UPI,delivered,2026-04-24
OI1000013,2026-04-24 13:16:00,C00752,P00122,S015,3,45035.48,0.05,108085.15,WALLET,cancelled,2026-04-24
OI1000014,2026-04-24 18:45:00,C02282,P00257,S001,1,66166.78,0.05,52933.42,UPI,shipped,2026-04-24
OI1000015,2026-04-24 04:06:00,C00221,P00729,S028,5,17472.25,0.05,82993.19,CARD,cancelled,2026-04-24
OI1000016,2026-04-24 13:45:00,C01485,P00756,S016,4,66406.1,0.0,265624.4,UPI,returned,2026-04-24
OI1000017,2026-04-24 17:01:00,C01421,P00276,S053,5,86969.03,0.0,391360.64,CARD,cancelled,2026-04-24
OI1000018,2026-04-24 16:14:00,C01140,P00106,S030,4,42058.36,0.1,NaN_TEXT,COD,delivered,2026-04-24
OI1000019,2026-04-24 22:39:00,C01576,P00730,S062,6,unknown,0.05,bad_amount,CARD,shipped,2026-04-24
OI1000020,2026-04-24 13:41:00,C02430,P00668,S071,5,73520.93,0.2,294083.72,COD,shipped,2026-04-24
OI1000021,2026-04-13 23:00:00,C01731,P00660,S068,2,46189.57,0.05,92379.14,WALLET,delivered,2026-04-24
OI1000022,2026-04-24 05:27:00,C01159,P00559,S015,2,72217.82,0.2,129992.08,UPI,cancelled,2026-04-24
OI1000023,2026-04-24 08:25:00,C01017,P00618,S072,2,4658.4,0.1,8385.12,CARD,shipped,2026-04-24
OI1000024,2026-04-24 23:00:00,C00458,P00659,S011,6,78806.84,0.2,449198.99,COD,delivered,2026-04-24
OI1000025,2026-04-24 03:27:00,C01953,P00265,S060,5,22620.31,0.0,107446.47,NETBANKING,shipped,2026-04-24
OI1000026,2026-04-24 04:59:00,C00811,P00213,S031,6,68661.56,0.05,411969.36,UPI,delivered,2026-04-24
OI1000027,2026-04-24 23:41:00,C02071,P00673,S072,1,16017.13,0.2,15216.27,CARD,cancelled,2026-04-24
OI1000028,2026-04-24 23:29:00,C01499,P00423,S075,6,4575.88,0.05,24709.75,COD,delivered,2026-04-24
OI1000029,2026-04-24 01:03:00,C02370,P00438,S052,2,37810.18,0.1,75620.36,CARD,returned,2026-04-24
OI1000030,2026-04-24 07:15:00,C00229,P00146,S011,2,18705.7,0.1,35540.83,WALLET,cancelled,2026-04-24
OI1000031,2026-04-24 00:30:00,C01266,P00061,S065,4,28120.7,0.2,106858.66,WALLET,delivered,2026-04-24
OI1000032,2026-04-24 09:50:00,C01153,P00270,S002,3,40733.2,0.05,109979.64,NETBANKING,cancelled,2026-04-24
OI1000033,2026-04-24 00:28:00,C00666,P00023,S036,1,19766.23,0.05,19766.23,UPI,delivered,2026-04-24
OI1000034,2026-04-24 07:56:00,C01474,P00016,S048,1,12387.77,0.2,9910.22,CARD,shipped,2026-04-24
OI1000035,2026-04-24 07:43:00,C00415,P00095,S048,4,63555.78,0.05,254223.12,UPI,delivered,2026-04-24
OI1000036,2026-04-24 18:55:00,C00107,P00536,S019,3,36167.32,0.0,103076.86,WALLET,shipped,2026-04-24
OI1000037,2026-04-24 00:30:00,C00892,P00729,S012,4,17472.25,0.0,62900.1,NETBANKING,cancelled,2026-04-24
OI1000038,2026-04-24 14:49:00,C02464,P00560,S012,1,28957.13,0.2,27509.27,COD,shipped,2026-04-24
OI1000039,2026-04-24 14:31:00,C00661,P00705,S069,1,51936.03,0.2,46742.43,COD,returned,2026-04-24
OI1000040,2026-04-24 11:34:00,C01710,P00162,S009,5,26013.63,0.05,123564.74,UPI,shipped,2026-04-24
OI1000041,2026-04-24 06:46:00,C00617,P00096,S033,3,37305.33,0.1,111915.99,COD,returned,2026-04-24
OI1000042,2026-04-24 23:21:00,C00734,P00505,S052,1,54225.5,0.0,51514.22,CARD,delivered,2026-04-24
OI1000043,2026-04-24 05:40:00,C01091,P00451,S017,4,70361.03,0.05,225155.3,WALLET,delivered,2026-04-24
OI1000044,2026-04-24 09:43:00,C00089,P00710,S058,2,87048.32,0.1,165391.81,CARD,delivered,2026-04-24
OI1000045,2026-04-24 23:34:00,C01439,P00645,S044,5,unknown,0.2,bad_amount,UPI,returned,2026-04-24
OI1000046,2026-04-24 22:17:00,C02495,P00351,S050,6,50547.87,0.05,272958.5,NETBANKING,shipped,2026-04-24
OI1000047,2026-04-24 02:32:00,C00827,P00099,S025,2,34760.41,0.2,66044.78,UPI,returned,2026-04-24
OI1000048,2026-04-24 09:16:00,C01548,P00717,S073,4,4480.09,0.1,17024.34,UPI,cancelled,2026-04-24
OI1000049,2026-04-24 08:42:00,C01854,P00085,S027,5,8844.99,0.1,42013.7,COD,cancelled,2026-04-24
OI1000050,2026-04-24 13:13:00,C00508,P00407,S048,3,17806.09,0.0,50747.36,COD,returned,2026-04-24
OI1000051,2026-04-24 07:13:00,C01531,P00118,S071,4,68692.94,0.05,247294.58,NETBANKING,returned,2026-04-24
OI1000052,2026-04-24 15:59:00,C01528,P00235,S075,3,20332.68,0.1,60998.04,WALLET,cancelled,2026-04-24
OI1000053,2026-04-24 21:29:00,C00505,P00534,S003,6,37722.72,0.05,226336.32,NETBANKING,shipped,2026-04-24
OI1000054,2026-04-24 03:02:00,C00160,P00027,S046,3,80091.77,0.05,192220.25,COD,returned,2026-04-24
OI1000055,2026-04-24 13:41:00,C00205,P00073,S034,2,79505.04,0.05,159010.08,UPI,cancelled,2026-04-24
OI1000056,2026-04-24 10:43:00,C01253,P00185,S074,5,23407.15,0.05,105332.18,WALLET,returned,2026-04-24
OI1000057,2026-04-24 03:09:00,C01905,P00725,S070,6,62116.51,0.0,298159.25,NETBANKING,cancelled,2026-04-24
OI1000058,2026-04-24 05:19:00,C00983,P00534,S017,3,37722.72,0.2,107509.75,COD,cancelled,2026-04-24
OI1000059,2026-04-24 16:29:00,C00635,P00053,S065,1,33861.69,0.0,32168.61,WALLET,shipped,2026-04-24
OI1000060,2026-04-24 09:11:00,C02014,P00203,S041,2,24833.93,0.0,47184.47,WALLET,returned,2026-04-24
OI1000061,2026-04-24 20:37:00,C00898,P00778,S002,2,80127.23,0.2,152241.74,CARD,delivered,2026-04-24
OI1000062,2026-04-24 05:06:00,C01819,P00750,S016,6,62995.9,0.1,377975.4,CARD,cancelled,2026-04-24
OI1000063,2026-04-24 21:39:00,C00488,P00094,S018,2,75370.76,0.0,143204.44,COD,shipped,2026-04-24
OI1000064,2026-04-24 22:46:00,C01972,P00572,S028,5,83512.41,0.05,417562.05,NETBANKING,shipped,2026-04-24
OI1000065,2026-04-24 10:34:00,C01580,P00086,S057,5,80804.46,0.0,323217.84,CARD,cancelled,2026-04-24
OI1000066,2026-04-24 07:45:00,C01330,P00634,S007,2,unknown,0.2,bad_amount,CARD,cancelled,2026-04-24
OI1000067,2026-04-24 23:03:00,C01839,P00296,S037,4,64201.56,0.05,231125.62,CARD,cancelled,2026-04-24
OI1000068,2026-04-24 01:20:00,C02130,P00532,S048,1,14865.84,0.05,14122.55,COD,cancelled,2026-04-24
OI1000069,2026-04-24 10:49:00,C02415,P00703,S004,3,15220.71,0.05,41095.92,WALLET,cancelled,2026-04-24
OI1000070,2026-04-24 01:49:00,C01011,P00271,S075,4,10674.3,0.05,40562.34,NETBANKING,returned,2026-04-24
OI1000071,2026-04-24 17:53:00,C00889,P00662,S037,2,30399.21,0.05,60798.42,NETBANKING,delivered,2026-04-24
OI1000072,2026-04-24 22:20:00,C00111,P00154,S013,3,60731.16,0.2,173083.81,NETBANKING,delivered,2026-04-24
OI1000073,2026-04-24 00:52:00,C00418,P00393,S055,2,84892.48,0.05,152806.46,COD,returned,2026-04-24
OI1000074,2026-04-24 20:14:00,C00908,P00685,S036,3,50206.6,0.0,120495.84,NETBANKING,delivered,2026-04-24
OI1000075,2026-04-24 06:32:00,C00268,P00571,S066,4,25003.47,0.2,80011.1,CARD,delivered,2026-04-24
OI1000076,2026-04-24 20:01:00,C02413,P00545,S053,6,77517.8,0.05,441851.46,WALLET,returned,2026-04-24
OI1000077,2026-04-24 19:57:00,C01936,P00736,S020,6,33429.26,0.0,160460.45,NETBANKING,returned,2026-04-24
