order_id,order_ts,customer_id,product_id,store_id,quantity,unit_price,discount_pct,gross_amount,payment_method,order_status,ingest_date,coupon_code
OI3000001,2026-04-26 22:42:00,C01830,P00296,S056,5,64201.56,0.1,256806.24,CARD,returned,2026-04-26,
OI3000002,2026-04-26 04:25:00,C01705,P00334,S030,2,16032.79,0.0,25652.46,NETBANKING,cancelled,2026-04-26,
OI3000003,2026-04-23 00:00:00,C01378,P00014,S045,6,24907.63,0.1,141973.49,CARD,shipped,2026-04-26,NEW10
OI3000004,2026-04-26 14:17:00,C02220,P00747,S030,2,61937.51,0.05,117681.27,CARD,shipped,2026-04-26,NEW10
OI3000005,2026-04-26 14:51:00,C01276,P00513,S005,4,72010.17,0.05,273638.65,UPI,delivered,2026-04-26,
OI3000006,2026-04-26 21:59:00,C01186,P00747,S044,6,61937.51,0.2,297300.05,CARD,cancelled,2026-04-26,
OI3000007,2026-04-26 06:29:00,C02099,P00522,S026,4,7540.18,0.1,30160.72,NETBANKING,shipped,2026-04-26,
OI3000008,2026-04-26 00:01:00,C01410,P00432,S011,1,7269.25,0.2,5815.4,UPI,returned,2026-04-26,
OI3000009,2026-04-26 16:42:00,C00774,P00672,S032,2,48105.37,0.05,96210.74,CARD,delivered,2026-04-26,
OI3000010,2026-04-26 13:03:00,C02274,P00686,S006,1,81005.35,0.05,76955.08,CARD,cancelled,2026-04-26,
OI3000011,2026-04-26 09:38:00,C00397,P00591,S003,4,40822.83,0.2,130633.06,UPI,delivered,2026-04-26,
OI3000012,2026-04-21 12:00:00,C00944,P00284,S020,2,43325.42,0.2,86650.84,NETBANKING,returned,2026-04-26,
OI3000013,2026-04-26 08:49:00,C00680,P00619,S043,4,59995.5,0.1,191985.6,CARD,shipped,2026-04-26,
OI3000014,2026-04-26 00:05:00,C02147,P00312,S030,6,8221.56,0.1,49329.36,COD,returned,2026-04-26,
OI3000015,2026-04-26 14:10:00,C00066,P00727,S012,2,68215.7,0.2,122788.26,UPI,cancelled,2026-04-26,
OI3000016,2026-04-26 10:34:00,C01724,P00008,S043,1,8710.16,0.05,7839.14,CARD,returned,2026-04-26,
OI3000017,2026-04-26 15:58:00,C02376,P00391,S020,2,40752.6,0.2,73354.68,WALLET,returned,2026-04-26,FESTIVE20
OI3000018,2026-04-26 23:13:00,C01463,P00329,S033,6,4843.15,0.0,26153.01,WALLET,delivered,2026-04-26,FESTIVE20
OI3000019,2026-04-26 05:01:00,C00141,P00334,S057,6,16032.79,0.0,91386.9,COD,returned,2026-04-26,FESTIVE20
OI3000020,2026-04-26 22:35:00,C00964,P00711,S043,3,67059.62,0.2,181060.97,CARD,shipped,2026-04-26,
OI3000021,2026-04-26 16:25:00,C01797,P00600,S017,4,41659.48,0.1,166637.92,UPI,cancelled,2026-04-26,NEW10
OI3000022,2026-04-26 14:56:00,C01288,P00293,S059,6,8044.48,0.1,45853.54,WALLET,returned,2026-04-26,
OI3000023,2026-04-26 22:23:00,C00682,P00025,S045,6,31334.27,0.1,178605.34,WALLET,cancelled,2026-04-26,
OI3000024,2026-04-26 18:42:00,C00437,P00007,S049,5,26020.02,0.05,130100.1,UPI,returned,2026-04-26,
OI3000025,2026-04-26 16:34:00,C00267,P00452,S018,1,80158.89,0.1,72143.0,NETBANKING,shipped,2026-04-26,
OI3000026,2026-04-26 21:31:00,C01999,P00639,S006,3,71673.79,0.0,172017.1,NETBANKING,delivered,2026-04-26,FESTIVE20
OI3000027,2026-04-26 18:37:00,C02380,P00529,S055,6,17985.15,0.1,107910.9,CARD,cancelled,2026-04-26,FESTIVE20
OI3000028,2026-04-26 09:08:00,C00573,P00186,S054,3,52875.22,0.2,158625.66,UPI,returned,2026-04-26,FESTIVE20
OI3000029,2026-04-26 17:25:00,C00578,P00524,S028,2,19552.66,0.05,37150.05,WALLET,shipped,2026-04-26,
OI3000030,2026-04-26 18:04:00,C00098,P00014,S037,3,24907.63,0.0,70986.75,WALLET,cancelled,2026-04-26,
OI3000031,2026-04-26 10:18:00,C01467,P00140,S026,3,33601.76,0.0,95765.02,UPI,delivered,2026-04-26,NEW10
OI3000032,2026-04-26 17:26:00,C01191,P00619,S017,5,59995.5,0.05,239982.0,CARD,shipped,2026-04-26,
OI3000033,2026-04-26 06:44:00,C00139,P00229,S029,2,78587.43,0.05,125739.89,COD,shipped,2026-04-26,
OI3000034,2026-04-26 12:14:00,C01990,P00135,S008,6,48883.94,0.05,234642.91,CARD,delivered,2026-04-26,FESTIVE20
OI3000035,2026-04-26 17:55:00,C01818,P00608,S036,1,77878.53,0.2,77878.53,COD,shipped,2026-04-26,
OI3000036,2026-04-26 13:36:00,C01050,P00294,S049,3,5174.19,0.0,13970.31,COD,shipped,2026-04-26,
OI3000037,2026-04-26 11:04:00,C02112,P00696,S004,1,69138.45,0.1,65681.53,UPI,returned,2026-04-26,
OI3000038,2026-04-26 15:58:00,C01923,P00430,S017,3,66211.05,0.0,198633.15,UPI,delivered,2026-04-26,
OI3000039,2026-04-26 20:09:00,C01536,P00370,S075,5,39280.5,0.0,176762.25,NETBANKING,cancelled,2026-04-26,NEW10
OI3000040,2026-04-12 09:00:00,C00346,P00429,S065,5,54171.73,0.05,257315.72,CARD,shipped,2026-04-26,
OI3000041,2026-04-22 21:00:00,C00616,P00316,S043,4,22142.03,0.05,79711.31,COD,cancelled,2026-04-26,NEW10
OI3000042,2026-04-26 09:54:00,C02030,P00076,S040,2,65585.96,0.2,118054.73,CARD,shipped,2026-04-26,
OI3000043,2026-04-26 00:46:00,C01347,P00413,S001,3,81415.77,0.1,195397.85,NETBANKING,delivered,2026-04-26,
OI3000044,2026-04-26 20:43:00,C02318,P00085,S051,3,8844.99,0.0,26534.97,WALLET,returned,2026-04-26,
OI3000045,2026-04-26 00:42:00,C01712,P00186,S022,1,52875.22,0.2,52875.22,NETBANKING,delivered,2026-04-26,
OI3000046,2026-04-10 08:00:00,C01548,P00247,S042,5,85045.12,0.1,382703.04,NETBANKING,shipped,2026-04-26,
OI3000047,2026-04-26 20:36:00,C02422,P00382,S016,2,43163.29,0.0,69061.26,UPI,cancelled,2026-04-26,
OI3000048,2026-04-26 08:43:00,C00234,P00215,S073,6,18263.0,0.2,104099.1,UPI,returned,2026-04-26,FESTIVE20
OI3000049,2026-04-26 07:58:00,C02074,P00439,S070,6,35995.69,0.2,194376.73,CARD,returned,2026-04-26,NEW10
OI3000050,2026-04-26 23:01:00,C02302,P00007,S051,6,26020.02,0.05,156120.12,CARD,shipped,2026-04-26,NEW10
OI3000051,2026-04-26 15:31:00,C00300,P00798,S073,1,76944.83,0.05,69250.35,COD,returned,2026-04-26,
