product_id,product_name,category,brand,unit_price,status,created_date,effective_date,operation
P00173,Speaker 173,Electronics,BrandA,50560.38,discontinued,2025-09-11,2026-04-25,UPDATE
P00680,Perfume 680,Beauty,BrandC,40368.75,active,2024-12-24,2026-04-25,UPDATE
P00095,Smartphone 95,Electronics,BrandB,685.97,active,2023-10-15,2026-04-25,UPDATE
P00664,Cream 664,Beauty,BrandB,43522.35,discontinued,2023-03-22,2026-04-25,UPDATE
P00733,Jacket 733,Fashion,BrandA,26764.31,active,2023-07-31,2026-04-25,UPDATE
P00082,Jacket 82,Fashion,BrandA,52340.68,active,2025-01-26,2026-04-25,UPDATE
P00541,Laptop 541,Electronics,BrandA,77208.1,active,2025-12-22,2026-04-25,UPDATE
P00251,Jeans 251,Fashion,BrandA,88637.25,active,2025-11-28,2026-04-25,UPDATE
P00282,Chair 282,Home,BrandC,42367.76,active,2023-06-03,2026-04-25,UPDATE
P00142,Keyboard 142,Electronics,BrandC,16441.76,active,2025-06-06,2026-04-25,UPDATE
P00014,Sneakers 14,Fashion,BrandA,42894.95,active,2023-03-20,2026-04-25,UPDATE
P00301,Coffee 301,Grocery,BrandD,16617.43,active,2024-03-18,2026-04-25,UPDATE
P00040,Cream 40,Beauty,BrandA,75266.52,discontinued,2024-02-02,2026-04-25,UPDATE
P00100,Chair 100,Home,BrandC,94029.82,active,2025-11-17,2026-04-25,UPDATE
P00762,Shampoo 762,Beauty,BrandC,595.73,discontinued,2023-12-04,2026-04-25,UPDATE
P00456,Bedsheet 456,,BrandC,64345.69,active,2025-09-19,2026-04-25,UPDATE
P00382,Bedsheet 382,Home,BrandB,90122.45,discontinued,2026-01-03,2026-04-25,UPDATE
P00290,Mixer 290,Home,BrandD,93601.32,active,2023-05-25,2026-04-25,UPDATE
P00098,Oil 98,Grocery,BrandC,56920.93,discontinued,2023-12-16,2026-04-25,UPDATE
P00708,T-Shirt 708,Fashion,BrandC,2175.86,discontinued,2023-01-03,2026-04-25,UPDATE
P00012,Tea 12,Grocery,BrandB,15844.74,active,2023-08-27,2026-04-25,UPDATE
P00273,Lamp 273,Home,BrandC,46825.14,discontinued,2023-02-22,2026-04-25,UPDATE
P00278,Chair 278,Home,BrandA,33297.09,active,2024-04-16,2026-04-25,UPDATE
P00187,Rice 187,Grocery,BrandD,39604.94,active,2025-09-18,2026-04-25,UPDATE
P00194,Jacket 194,Fashion,BrandC,7789.65,active,2023-07-07,2026-04-25,UPDATE
P00523,Chair 523,Home,BrandD,42945.28,active,2024-10-23,2026-04-25,UPDATE
P00682,Keyboard 682,Electronics,BrandB,812.5,active,2025-09-07,2026-04-25,UPDATE
P00486,Jacket 486,Fashion,BrandD,1935.25,active,2025-07-26,2026-04-25,UPDATE
P00297,Jacket 297,Fashion,BrandA,17270.93,discontinued,2025-02-08,2026-04-25,UPDATE
P00788,Speaker 788,Electronics,BrandD,6995.6,active,2025-04-22,2026-04-25,UPDATE
P00675,Sneakers 675,Fashion,BrandC,36877.65,active,2025-05-01,2026-04-25,UPDATE
P00196,Jeans 196,Fashion,BrandD,6961.17,discontinued,2023-07-21,2026-04-25,UPDATE
P00322,Shampoo 322,Beauty,BrandB,45211.26,discontinued,2024-07-05,2026-04-25,UPDATE
P00403,Keyboard 403,Electronics,BrandD,90536.71,discontinued,2025-09-03,2026-04-25,UPDATE
P00066,Speaker 66,Electronics,BrandB,33450.72,active,2023-07-29,2026-04-25,UPDATE
P00599,T-Shirt 599,Fashion,BrandB,48337.77,active,2025-01-22,2026-04-25,UPDATE
P00576,Rice 576,Grocery,BrandB,43675.64,active,2023-08-08,2026-04-25,UPDATE
P00532,Headphones 532,Electronics,BrandB,63830.77,active,2025-06-16,2026-04-25,UPDATE
P00261,Cream 261,Beauty,BrandD,41728.72,discontinued,2024-06-10,2026-04-25,UPDATE
P00748,Keyboard 748,Electronics,BrandB,27162.77,discontinued,2023-08-11,2026-04-25,UPDATE
P00567,Tea 567,Grocery,BrandB,8684.43,active,2023-09-09,2026-04-25,UPDATE
P00170,Coffee 170,Grocery,BrandC,1503.57,active,2024-05-16,2026-04-25,UPDATE
P00625,Coffee 625,Grocery,BrandB,13867.81,discontinued,2023-08-22,2026-04-25,UPDATE
P00450,Bedsheet 450,Home,BrandC,6491.88,active,2024-02-03,2026-04-25,UPDATE
P00416,Mixer 416,Home,BrandA,90936.32,active,2025-11-08,2026-04-25,UPDATE
P00639,Headphones 639,Electronics,BrandA,49407.64,active,2025-05-27,2026-04-25,UPDATE
P00509,Shampoo 509,Beauty,BrandA,8393.56,active,2023-12-04,2026-04-25,UPDATE
P00242,Smartphone 242,Electronics,BrandB,92099.46,discontinued,2023-04-11,2026-04-25,UPDATE
P00654,Cream 654,Beauty,BrandB,43649.43,discontinued,2023-03-11,2026-04-25,UPDATE
P00583,Jeans 583,Fashion,BrandD,77177.58,active,2024-05-24,2026-04-25,UPDATE
