item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00001,ORD01022,PROD0185,2,60956.5,10.0
ITEM00002,ORD00225,PROD0453,2,1365.19,10.0
ITEM00003,ORD00839,PROD0159,2,10613.06,25.0
ITEM00004,ORD00472,PROD0106,4,11146.49,20.0
ITEM00005,ORD01406,PROD0235,5,49382.46,20.0
ITEM00006,ORD00141,PROD0472,5,16438.17,10.0
ITEM00007,ORD00775,PROD0408,2,9770.38,0.0
ITEM00008,ORD00883,PROD0055,1,1487.73,15.0
ITEM00009,ORD01245,PROD0439,-3,40418.34,30.0
ITEM00010,ORD00868,PROD0156,5,3258.17,40.0
ITEM00011,ORD00399,PROD0050,2,42537.87,15.0
ITEM00012,ORD00434,PROD0498,3,47334.8,0.0
ITEM00013,ORD00684,PROD0214,3,17256.6,20.0
ITEM00014,ORD00655,PROD0461,2,34868.65,0.0
ITEM00015,ORD00105,PROD0477,2,8062.0,0.0
ITEM00016,ORD00283,PROD0326,1,44311.83,30.0
ITEM00017,ORD01036,PROD0478,1,14575.01,0.0
ITEM00018,ORD01228,PROD0372,5,27807.38,15.0
ITEM00019,ORD00261,PROD0140,5,31830.76,10.0
ITEM00020,ORD00167,PROD0375,2,45866.77,0.0
ITEM00021,ORD00872,PROD0348,1,10571.36,10.0
ITEM00022,ORD01049,PROD0426,2,3413.76,40.0
ITEM00023,ORD01054,PROD0296,1,78983.13,40.0
ITEM00024,ORD00529,PROD0449,3,7288.56,20.0
ITEM00025,ORD01179,PROD0104,1,65440.26,15.0
ITEM00026,ORD00839,PROD0494,2,27557.38,15.0
ITEM00027,ORD01001,PROD0415,1,49370.29,25.0
ITEM00028,ORD00085,PROD0428,5,216.76,40.0
ITEM00029,ORD00054,PROD0251,1,64748.0,0.0
ITEM00030,ORD01319,PROD0046,4,34458.7,25.0
ITEM00031,ORD00870,PROD0279,3,43847.42,20.0
ITEM00032,ORD00353,PROD0277,3,26540.48,10.0
ITEM00033,ORD00754,PROD0298,4,3348.32,50.0
ITEM00034,ORD00307,PROD0393,4,39322.31,15.0
ITEM00035,ORD00163,PROD0209,4,19573.65,0.0
ITEM00036,ORD00424,PROD0130,3,67434.13,30.0
ITEM00037,ORD00286,PROD0331,5,32976.91,25.0
ITEM00038,ORD01213,PROD0085,3,39874.41,10.0
ITEM00039,ORD01286,PROD0441,2,33035.86,10.0
ITEM00040,ORD01485,PROD0277,2,36070.82,25.0
ITEM00041,ORD01477,PROD0294,2,29133.02,25.0
ITEM00042,ORD01123,PROD0203,4,4122.41,30.0
ITEM00043,ORD01047,PROD0257,5,34151.6,0.0
ITEM00044,ORD01269,PROD0003,-5,46676.14,15.0
ITEM00045,ORD00257,PROD0085,3,37026.04,10.0
ITEM00046,ORD00191,PROD0167,3,50084.47,10.0
ITEM00047,ORD00779,PROD0203,4,5530.43,0.0
ITEM00048,ORD00695,PROD0180,1,22048.2,0.0
ITEM00049,ORD00001,PROD0330,-2,56580.66,20.0
ITEM00050,ORD00994,PROD0458,5,50306.67,20.0
ITEM00051,ORD00957,PROD0254,1,54100.72,15.0
ITEM00052,ORD00181,PROD0157,4,60899.59,5.0
ITEM00053,ORD00217,PROD0108,1,38074.83,40.0
ITEM00054,ORD00136,PROD0098,1,44565.25,0.0
ITEM00055,ORD00825,PROD0107,1,37726.04,0.0
ITEM00056,ORD00316,PROD0232,4,40846.34,40.0
ITEM00057,ORD00278,PROD0339,5,40543.38,5.0
ITEM00058,ORD01071,PROD0199,3,5615.8,10.0
ITEM00059,ORD00488,PROD0302,5,51282.28,10.0
ITEM00060,ORD01471,PROD0348,1,11329.67,10.0
ITEM00061,ORD00535,PROD0180,-4,13963.97,25.0
