order_id,customer_id,order_date,status,region_code
ORD00001,CUST0132,2024-10-01 10:36:21,RETURNED,EAST
ORD00002,CUST0126,2024-08-13 03:55:01,RETURNED,NORTH
ORD00003,CUST0173,2026-05-17 17:58:36,DELIVERED,WEST
ORD00004,CUST0509,2024-02-28 19:10:46,DELIVERED,WEST
ORD00005,CUST0177,2025-12-01 10:59:24,SHIPPED,SOUTH
ORD00006,CUST0282,2025-05-01 17:44:02,DELIVERED,SOUTH
ORD00007,CUST0036,2025-11-30 21:45:37,DELIVERED,WEST
ORD00008,CUST0422,2026-05-05 11:09:41,DELIVERED,NORTH
ORD00009,CUST0287,2025-08-17 23:50:40,SHIPPED,SOUTH
ORD00010,CUST0659,06-12-2025,DELIVERED,CENTRAL
ORD00011,CUST0020,2026-03-03 13:08:25,DELIVERED,EAST
ORD00012,CUST0492,2025-10-20 22:32:51,DELIVERED,EAST
ORD00013,CUST0580,2026-02-19 10:34:41,DELIVERED,EAST
ORD00014,CUST0185,2024-06-04 11:41:52,DELIVERED,SOUTH
ORD00015,CUST0031,2025-03-12 09:55:44,PLACED,WEST
ORD00016,CUST0543,2025-09-01 15:01:55,DELIVERED,SOUTH
ORD00017,CUST0164,2024-11-24 18:38:21,SHIPPED,SOUTH
ORD00018,CUST0273,2026-04-09 01:23:20,CANCELLED,NORTH
ORD00019,CUST0783,2025-03-30 10:07:42,DELIVERED,WEST
ORD00020,CUST0364,2026-06-05 20:14:11,RETURNED,SOUTH
ORD00021,CUST0181,2025-01-02 11:15:55,DELIVERED,EAST
ORD00022,,2024-09-22 21:48:30,DELIVERED,EAST
ORD00023,CUST0582,25-05-2026,SHIPPED,SOUTH
ORD00024,CUST0505,2025-07-11 01:56:06,DELIVERED,WEST
ORD00025,CUST0039,2025-07-18 02:31:10,PLACED,CENTRAL
ORD00026,CUST0225,2024-01-31 22:58:09,DELIVERED,NORTH
ORD00027,CUST0340,2025-11-12 00:18:06,SHIPPED,SOUTH
ORD00028,CUST0349,2026-05-08 20:41:10,SHIPPED,EAST
ORD00029,CUST0061,2024-02-04 00:58:19,SHIPPED,SOUTH
ORD00030,CUST0793,2025-07-17 03:42:34,CANCELLED,EAST
ORD00031,CUST0075,2025-10-09 04:14:12,DELIVERED,WEST
ORD00032,CUST0601,2024-06-05 22:45:08,DELIVERED,EAST
ORD00033,CUST0140,14-09-2024,DELIVERED,WEST
ORD00034,CUST0655,2026-01-26 20:07:59,DELIVERED,SOUTH
ORD00035,CUST0725,2026-03-02 06:00:29,DELIVERED,CENTRAL
ORD00036,CUST0366,2025-03-02 18:53:11,DELIVERED,SOUTH
ORD00037,,2025-04-21 15:11:56,DELIVERED,EAST
ORD00038,CUST0131,2024-10-26 00:43:21,DELIVERED,CENTRAL
ORD00039,CUST0401,2024-06-28 07:18:58,SHIPPED,EAST
ORD00040,CUST0627,2026-01-23 18:53:34,DELIVERED,NORTH
ORD00041,CUST0509,2024-08-19 11:33:53,DELIVERED,NORTH
ORD00042,CUST0244,2026-01-02 09:00:33,RETURNED,SOUTH
ORD00043,CUST0652,2024-10-21 21:58:21,CANCELLED,EAST
ORD00044,CUST0458,2024-02-08 16:51:34,DELIVERED,SOUTH
ORD00045,CUST0710,2025-03-01 15:47:10,DELIVERED,NORTH
ORD00046,CUST0738,2024-02-16 23:45:54,PLACED,WEST
ORD00047,CUST0751,2025-10-13 21:48:22,RETURNED,WEST
ORD00048,CUST0505,2026-03-31 21:23:47,DELIVERED,CENTRAL
ORD00049,CUST0385,2024-06-06 13:31:50,CANCELLED,CENTRAL
ORD00050,CUST0667,2026-03-24 22:41:02,DELIVERED,SOUTH
ORD00051,CUST0463,2025-09-23 15:01:16,DELIVERED,NORTH
ORD00052,CUST0302,2024-02-01 04:33:43,DELIVERED,NORTH
ORD00053,CUST0076,2025-10-27 17:53:00,SHIPPED,WEST
ORD00054,CUST0165,2026-05-19 13:11:27,PLACED,NORTH
ORD00055,,2026-04-29 16:45:57,RETURNED,WEST
ORD00056,CUST0722,2024-02-18 03:30:37,DELIVERED,SOUTH
ORD00057,CUST0622,2025-11-05 12:09:49,SHIPPED,NORTH
ORD00058,CUST0340,29-12-2024,RETURNED,WEST
ORD00059,CUST0714,2026-03-27 00:26:48,DELIVERED,EAST
ORD00060,CUST0244,2025-06-21 12:00:08,PLACED,CENTRAL
ORD00061,CUST0563,2026-02-01 15:52:42,SHIPPED,EAST
ORD00062,CUST0004,2025-10-26 06:18:20,PLACED,CENTRAL
ORD00063,CUST0492,2025-01-26 02:12:29,PLACED,SOUTH
ORD00064,CUST0175,2026-06-04 20:22:05,DELIVERED,NORTH
ORD00065,CUST0485,2024-06-28 10:29:05,DELIVERED,WEST
ORD00066,CUST0483,2026-04-18 22:42:45,CANCELLED,EAST
ORD00067,CUST0094,2025-12-24 13:15:23,DELIVERED,SOUTH
ORD00068,CUST0380,2025-08-15 13:18:26,DELIVERED,WEST
ORD00069,CUST0046,2025-03-05 00:23:06,DELIVERED,EAST
ORD00070,CUST0232,2025-04-07 04:43:00,DELIVERED,SOUTH
ORD00071,CUST0771,17-06-2026,DELIVERED,NORTH
ORD00072,CUST0685,2026-04-17 12:22:04,CANCELLED,WEST
ORD00073,CUST0775,2026-06-24 00:38:55,SHIPPED,NORTH
ORD00074,CUST0397,2026-04-07 16:10:44,DELIVERED,CENTRAL
ORD00075,CUST0704,2026-01-22 14:44:10,DELIVERED,SOUTH
ORD00076,CUST0488,2025-05-17 03:00:25,PLACED,NORTH
ORD00077,CUST0515,2025-12-12 16:18:40,RETURNED,CENTRAL
ORD00078,,2026-03-26 21:21:52,SHIPPED,WEST
ORD00079,CUST0178,2024-10-12 16:21:17,RETURNED,SOUTH
ORD00080,CUST0130,2024-03-07 07:04:22,DELIVERED,WEST
ORD00081,CUST0207,2026-06-28 10:51:08,DELIVERED,CENTRAL
ORD00082,CUST0265,2025-10-26 04:16:52,RETURNED,NORTH
ORD00083,CUST0090,2026-03-06 10:41:33,DELIVERED,CENTRAL
ORD00084,CUST0334,2025-03-05 01:30:46,DELIVERED,NORTH
ORD00085,CUST0718,2026-04-12 23:19:14,DELIVERED,WEST
ORD00086,CUST0116,2025-04-16 21:45:58,SHIPPED,CENTRAL
ORD00087,CUST0603,2026-06-24 03:46:34,DELIVERED,NORTH
ORD00088,CUST0109,2026-05-24 02:22:15,DELIVERED,EAST
ORD00089,CUST0549,2026-04-30 13:05:34,CANCELLED,EAST
ORD00090,,2026-01-24 07:54:47,DELIVERED,WEST
