product_id,product_name,category,subcategory,cost_price
PROD0001,Essential Biography 1,Books,Biography,39142.51
PROD0002,Compact Footwear 2,Clothing,Footwear,38532.1
PROD0003,Essential Fiction 3,Books,Fiction,33532.16
PROD0004,Smart Biography 4,Books,Biography,22330.16
PROD0005,Essential Laptop 5,Electronics,Laptop,39146.94
PROD0006,Comfort Fiction 6,Books,Fiction,769.41
PROD0007,SMART FOOTWEAR 7,Clothing,Footwear,3441.28
PROD0008,Eco Decor 8,Home,Decor,29270.66
PROD0009,Essential Bedding 9,Home,Bedding,28235.82
PROD0010,Premium Fiction 10,Books,Fiction,10625.88
PROD0011,Premium Furniture 11,Home,Furniture,19574.0
PROD0012,COMFORT MOBILE 12,Electronics,Mobile,7553.11
PROD0013,Classic Kitchen 13,Home,Kitchen,14650.91
PROD0014,Essential Headphones 14,Electronics,Headphones,16917.86
PROD0015,Eco Women 15,Clothing,Women,25501.49
PROD0016,Smart Women 16,Clothing,Women,3627.26
PROD0017,Comfort Education 17,Books,Education,41084.28
PROD0018,Comfort Women 18,Clothing,Women,28734.68
PROD0019,Classic Business 19,Books,Business,40458.97
PROD0020,Smart Business 20,Books,Business,3397.88
PROD0021,Eco Decor 21,Home,Decor,31088.88
PROD0022,Compact Business 22,Books,Business,44971.86
PROD0023,Compact Fiction 23,Books,Fiction,17210.88
PROD0024,Modern Decor 24,Home,Decor,1065.53
PROD0025,Classic Business 25,Books,Business,25501.53
PROD0026,Modern Accessories 26,Electronics,Accessories,34926.28
PROD0027,Compact Kids 27,Clothing,Kids,28676.88
PROD0028,Premium Furniture 28,Home,Furniture,40660.89
PROD0029,Comfort Headphones 29,Electronics,Headphones,1578.73
PROD0030,Premium Furniture 30,Home,Furniture,40940.48
PROD0031,Smart Bedding 31,Home,Bedding,9099.7
PROD0032,smart decor 32,Home,Decor,11623.1
PROD0033,Essential Business 33,Books,Business,36206.13
PROD0034,smart fiction 34,Books,Fiction,33956.49
PROD0035,Essential Footwear 35,Clothing,Footwear,4136.41
PROD0036,Modern Fiction 36,Books,Fiction,24182.83
PROD0037,Modern Business 37,Books,Business,26338.44
PROD0038,Compact Kitchen 38,Home,Kitchen,21258.74
PROD0039,  Premium Furniture 39  ,Home,Furniture,28622.34
PROD0040,Eco Business 40,Books,Business,5321.08
PROD0041,Modern Mobile 41,Electronics,Mobile,44817.06
PROD0042,Compact Mobile 42,Electronics,Mobile,39935.69
PROD0043,Comfort Footwear 43,Clothing,Footwear,16745.84
PROD0044,  Eco Education 44  ,Books,Education,29499.09
PROD0045,Modern Biography 45,Books,Biography,1549.62
PROD0046,Comfort Furniture 46,Home,Furniture,20055.74
PROD0047,Premium Kids 47,Clothing,Kids,44143.27
PROD0048,Classic Decor 48,Home,Decor,17964.43
PROD0049,Comfort Men 49,Clothing,Men,4197.97
PROD0050,Classic Men 50,Clothing,Men,35422.81
PROD0051,Compact Women 51,Clothing,Women,3161.97
PROD0052,Compact Women 52,Clothing,Women,14838.9
PROD0053,Modern Men 53,Clothing,Men,38639.6
PROD0054,Modern Women 54,Clothing,Women,35949.24
PROD0055,Smart Mobile 55,Electronics,Mobile,747.53
PROD0056,Classic Kids 56,Clothing,Kids,7907.14
PROD0057,Eco Laptop 57,Electronics,Laptop,23711.76
PROD0058,Comfort Accessories 58,Electronics,Accessories,35028.53
PROD0059,Compact Accessories 59,Electronics,Accessories,42548.07
PROD0060,Comfort Headphones 60,Electronics,Headphones,28978.86
PROD0061,Comfort Mobile 61,Electronics,Mobile,38140.65
PROD0062,Comfort Fiction 62,Books,Fiction,32081.07
PROD0063,  Premium Fiction 63  ,Books,Fiction,14549.26
PROD0064,Smart Men 64,Clothing,Men,12433.72
PROD0065,Modern Bedding 65,Home,Bedding,20460.9
PROD0066,Premium Fiction 66,Books,Fiction,38387.45
PROD0067,  Comfort Footwear 67  ,Clothing,Footwear,39973.05
PROD0068,Comfort Business 68,Books,Business,17990.96
PROD0069,Eco Headphones 69,Electronics,Headphones,14118.56
PROD0070,Smart Decor 70,Home,Decor,30932.0
PROD0071,Premium Fiction 71,Books,Fiction,37443.19
PROD0072,premium accessories 72,Electronics,Accessories,33526.94
PROD0073,Classic Furniture 73,Home,Furniture,26424.01
PROD0074,Eco Kitchen 74,Home,Kitchen,15963.63
PROD0075,Modern Fiction 75,Books,Fiction,27050.42
PROD0076,Compact Kitchen 76,Home,Kitchen,7030.48
PROD0077,Premium Education 77,Books,Education,15807.12
PROD0078,Modern Kitchen 78,Home,Kitchen,25868.57
PROD0079,Modern Fiction 79,Books,Fiction,1380.58
PROD0080,Essential Decor 80,Home,Decor,15847.97
PROD0081,Eco Women 81,Clothing,Women,3205.78
PROD0082,Compact Mobile 82,Electronics,Mobile,16978.65
PROD0083,Smart Business 83,Books,Business,16702.78
PROD0084,Classic Kitchen 84,Home,Kitchen,7068.65
PROD0085,Modern Mobile 85,Electronics,Mobile,19984.63
PROD0086,Comfort Biography 86,Books,Biography,18685.13
PROD0087,Essential Men 87,Clothing,Men,19391.72
PROD0088,Modern Bedding 88,Home,Bedding,2120.15
PROD0089,Classic Fiction 89,Books,Fiction,9262.69
PROD0090,Modern Women 90,Clothing,Women,13081.97
PROD0091,Comfort Mobile 91,Electronics,Mobile,33635.87
PROD0092,Eco Women 92,Clothing,Women,24003.6
PROD0093,Premium Kids 93,Clothing,Kids,17916.44
PROD0094,Classic Accessories 94,Electronics,Accessories,20732.16
PROD0095,Eco Headphones 95,Electronics,Headphones,25837.11
PROD0096,Premium Business 96,Books,Business,18274.05
PROD0097,Comfort Furniture 97,Home,Furniture,37454.6
PROD0098,Eco Kitchen 98,Home,Kitchen,38014.24
PROD0099,Eco Footwear 99,Clothing,Footwear,23616.4
PROD0100,Essential Business 100,Books,Business,10033.02
PROD0101,Premium Men 101,Clothing,Men,23914.77
PROD0102,ESSENTIAL KIDS 102,Clothing,Kids,32753.87
PROD0103,Premium Women 103,Clothing,Women,6658.27
PROD0104,Smart Women 104,Clothing,Women,34228.87
PROD0105,Comfort Laptop 105,Electronics,Laptop,20920.77
PROD0106,Essential Business 106,Books,Business,6861.01
PROD0107,Comfort Accessories 107,Electronics,Accessories,28441.82
PROD0108,Essential Kitchen 108,Home,Kitchen,22869.57
PROD0109,Comfort Bedding 109,Home,Bedding,1769.32
PROD0110,Premium Decor 110,Home,Decor,29038.42
PROD0111,Comfort Accessories 111,Electronics,Accessories,26148.4
PROD0112,Compact Accessories 112,Electronics,Accessories,14522.98
PROD0113,Classic Education 113,Books,Education,20317.5
PROD0114,smart kitchen 114,Home,Kitchen,1838.26
PROD0115,Smart Biography 115,Books,Biography,16426.3
PROD0116,Eco Bedding 116,Home,Bedding,34868.96
PROD0117,Premium Headphones 117,Electronics,Headphones,14889.71
PROD0118,Modern Business 118,Books,Business,32590.12
PROD0119,Premium Kids 119,Clothing,Kids,26256.66
PROD0120,Modern Kids 120,Clothing,Kids,43548.93
PROD0121,Premium Education 121,Books,Education,13986.42
PROD0122,Smart Business 122,Books,Business,30181.63
PROD0123,Essential Accessories 123,Electronics,Accessories,898.92
PROD0124,Compact Furniture 124,Home,Furniture,15430.62
PROD0125,Compact Education 125,Books,Education,44998.95
PROD0126,Modern Men 126,Clothing,Men,38011.72
PROD0127,Essential Mobile 127,Electronics,Mobile,39447.56
PROD0128,Smart Footwear 128,Clothing,Footwear,7368.14
PROD0129,Classic Footwear 129,Clothing,Footwear,18535.77
PROD0130,Modern Footwear 130,Clothing,Footwear,33877.41
PROD0131,Compact Education 131,Books,Education,13981.3
PROD0132,Essential Education 132,Books,Education,30549.54
PROD0133,  Modern Biography 133  ,Books,Biography,35033.33
PROD0134,Compact Education 134,Books,Education,36072.56
PROD0135,Classic Kids 135,Clothing,Kids,28881.76
PROD0136,Premium Kitchen 136,Home,Kitchen,12885.03
PROD0137,Comfort Kids 137,Clothing,Kids,40746.35
PROD0138,Premium Footwear 138,Clothing,Footwear,42592.88
PROD0139,Essential Footwear 139,Clothing,Footwear,41876.8
PROD0140,Eco Fiction 140,Books,Fiction,22630.16
PROD0141,Premium Footwear 141,Clothing,Footwear,16921.08
PROD0142,Premium Headphones 142,Electronics,Headphones,37775.8
PROD0143,Smart Furniture 143,Home,Furniture,1800.58
PROD0144,Comfort Education 144,Books,Education,20231.18
PROD0145,Classic Mobile 145,Electronics,Mobile,11576.1
PROD0146,Premium Footwear 146,Clothing,Footwear,34945.67
PROD0147,Premium Kids 147,Clothing,Kids,2224.91
PROD0148,Premium Biography 148,Books,Biography,5059.74
PROD0149,Compact Fiction 149,Books,Fiction,32357.01
PROD0150,Classic Bedding 150,Home,Bedding,27697.25
PROD0151,Smart Footwear 151,Clothing,Footwear,29923.56
PROD0152,Premium Headphones 152,Electronics,Headphones,42906.89
PROD0153,Comfort Accessories 153,Electronics,Accessories,2035.57
PROD0154,Modern Business 154,Books,Business,33649.46
PROD0155,Essential Kitchen 155,Home,Kitchen,10911.38
PROD0156,Smart Headphones 156,Electronics,Headphones,2071.56
PROD0157,Comfort Furniture 157,Home,Furniture,44138.4
PROD0158,Smart Education 158,Books,Education,2914.48
PROD0159,Modern Fiction 159,Books,Fiction,9135.47
PROD0160,Essential Men 160,Clothing,Men,42007.02
PROD0161,Modern Biography 161,Books,Biography,1725.01
PROD0162,Essential Kids 162,Clothing,Kids,38807.26
PROD0163,Modern Headphones 163,Electronics,Headphones,5671.42
PROD0164,Eco Bedding 164,Home,Bedding,33469.38
PROD0165,Smart Business 165,Books,Business,22369.45
PROD0166,Modern Business 166,Books,Business,36067.57
PROD0167,Eco Fiction 167,Books,Fiction,27142.2
PROD0168,Essential Kids 168,Clothing,Kids,4688.7
PROD0169,Modern Decor 169,Home,Decor,20110.54
PROD0170,Comfort Education 170,Books,Education,15871.49
PROD0171,Eco Headphones 171,Electronics,Headphones,12413.03
PROD0172,Eco Mobile 172,Electronics,Mobile,16399.94
PROD0173,Smart Men 173,Clothing,Men,38202.23
PROD0174,Smart Fiction 174,Books,Fiction,3100.12
